minbucket	cp	max_depth	min_split	ganancia_promedio
5	-0.4	750	400	NA
5	-0.4	750	200	NA
5	-0.4	750	100	NA
5	-0.4	750	50	NA
5	-0.4	750	20	NA
5	-0.4	750	10	NA
5	-0.4	1000	2000	NA
5	-0.4	1000	1000	NA
5	-0.4	1000	800	NA
5	-0.4	1000	600	NA
5	-0.4	1000	400	NA
5	-0.4	1000	200	NA
5	-0.4	1000	100	NA
5	-0.4	1000	50	NA
5	-0.4	1000	20	NA
5	-0.4	1000	10	NA
5	-0.3	4	2000	9076667
5	-0.3	4	1000	9066667
5	-0.3	4	800	9066667
5	-0.3	4	600	9066667
5	-0.3	4	400	9066667
5	-0.3	4	200	9066667
5	-0.3	4	100	9066667
5	-0.3	4	50	9066667
5	-0.3	4	20	9066667
5	-0.3	4	10	9066667
5	-0.3	6	2000	10683333
5	-0.3	6	1000	10546667
5	-0.3	6	800	10546667
5	-0.3	6	600	10546667
5	-0.3	6	400	10546667
5	-0.3	6	200	10546667
5	-0.3	6	100	10546667
5	-0.3	6	50	10546667
5	-0.3	6	20	10546667
5	-0.3	6	10	10576667
5	-0.3	8	2000	9833333
5	-0.3	8	1000	9970000
5	-0.3	8	800	9970000
5	-0.3	8	600	9960000
5	-0.3	8	400	9960000
5	-0.3	8	200	9800000
5	-0.3	8	100	9813333
5	-0.3	8	50	9813333
5	-0.3	8	20	9890000
5	-0.3	8	10	9983333
5	-0.3	10	2000	9783333
5	-0.3	10	1000	8673333
5	-0.3	10	800	8540000
5	-0.3	10	600	7590000
5	-0.3	10	400	5366667
5	-0.3	10	200	6076667
5	-0.3	10	100	6143333
5	-0.3	10	50	5900000
5	-0.3	10	20	5790000
5	-0.3	10	10	5950000
5	-0.3	12	2000	9596667
5	-0.3	12	1000	10070000
5	-0.3	12	800	9910000
5	-0.3	12	600	8676667
5	-0.3	12	400	6600000
5	-0.3	12	200	6716667
5	-0.3	12	100	6463333
5	-0.3	12	50	5793333
5	-0.3	12	20	5866667
5	-0.3	12	10	5793333
5	-0.3	16	2000	9363333
5	-0.3	16	1000	9780000
5	-0.3	16	800	9620000
5	-0.3	16	600	7603333
5	-0.3	16	400	5453333
5	-0.3	16	200	4546667
5	-0.3	16	100	4303333
5	-0.3	16	50	3363333
5	-0.3	16	20	3423333
5	-0.3	16	10	3280000
